date,signal,gross,net,turnover,gross_cum,net_cum
2024-05-22,pred_RandomForest,0.18055201105547086,0.17855201105547086,1.0,1.1805520110554708,1.1785520110554708
2024-06-21,pred_RandomForest,-0.061972946287677154,-0.06297294628767715,0.5,1.1073897246845208,1.1043351185660408
2024-07-22,pred_RandomForest,0.013946730912401499,0.011946730912401499,1.0,1.1228341911898543,1.1175283130646643
2024-08-19,pred_RandomForest,-0.040034309760311054,-0.04303430976031106,1.5,1.0778822993702912,1.0694362534743216
2024-09-17,pred_RandomForest,-0.029641245093406654,-0.03264124509340666,1.5,1.0459325259528116,1.0345285226128917
2024-10-15,pred_RandomForest,0.14553256742897341,0.1435325674289734,1.0,1.1981497718121956,1.183017057542023
2024-11-12,pred_RandomForest,-0.11421264772929005,-0.11621264772929005,1.0,1.06130591399728,1.0455355129761505
2024-12-11,pred_RandomForest,0.04034275309029171,0.04034275309029171,0.0,1.1041219164389386,1.087715294023279
2025-02-10,pred_RandomForest,-0.021004683096018717,-0.024004683096018716,1.5,1.08093018548477,1.0616050330915574
2025-03-11,pred_RandomForest,-0.04322558022522749,-0.04422558022522749,0.5,1.034206351034228,1.0146549345330615
2025-04-08,pred_RandomForest,-0.06860941280423963,-0.07160941280423963,1.5,0.9632500605713544,0.9419960904722249
2025-05-07,pred_RandomForest,0.06456639565715834,0.06256639565715834,1.0,1.0254436450989861,1.0009333905762063
2025-06-05,pred_RandomForest,0.04797170377979369,0.04497170377979369,1.5,1.0746359238845467,1.045947070520504
2025-07-07,pred_RandomForest,0.07206523671730555,0.07106523671730555,0.5,1.152079816124207,1.120277546680816
2025-08-04,pred_RandomForest,0.007520606216612749,0.004520606216612749,1.5,1.1607441547513846,1.125341880322673
2025-09-29,pred_RandomForest,0.0368032688500549,0.0358032688500549,0.5,1.2034633339448295,1.165632798212092
2025-10-27,pred_RandomForest,0.13160372264634418,0.13060372264634418,0.5,1.3618435887603497,1.317868780897266
2025-11-24,pred_RandomForest,-0.016475032843753103,-0.017475032843753104,0.5,1.3394071709074684,1.2948389806673295
2025-12-23,pred_RandomForest,-0.0029291102475643045,-0.0039291102475643045,0.5,1.3354838996375022,1.2897514155594438
2026-01-23,pred_RandomForest,-0.0455138885576507,-0.0465138885576507,0.5,1.2747008342588642,1.2297600619490396
2026-02-23,pred_RandomForest,0.035277293769856256,0.033277293769856255,1.0,1.3196688300576949,1.2706831487969543
2026-03-23,pred_RandomForest,-0.06324672769855809,-0.06424672769855809,0.5,1.236204094910761,1.18904591454505
2024-05-22,pred_GradientBoosting,-0.15906129093153604,-0.16106129093153604,1.0,0.8409387090684639,0.8389387090684639
2024-06-21,pred_GradientBoosting,0.036977483114659,0.035977483114659,0.5,0.8720345059835062,0.8691216123082085
2024-07-22,pred_GradientBoosting,-0.053482326277595645,-0.055482326277595646,1.0,0.8253960720091744,0.8209007234392145
2024-08-19,pred_GradientBoosting,0.07788811940272285,0.07488811940272284,1.5,0.8896846198203634,0.882376434833912
2024-09-17,pred_GradientBoosting,-0.06852942086459006,-0.07152942086459006,1.5,0.828715048071941,0.8192605594656807
2024-10-15,pred_GradientBoosting,0.13414188975655575,0.13014188975655575,2.0,0.9398804506900061,0.9258806768775575
2024-11-12,pred_GradientBoosting,-0.11421264772929005,-0.11621264772929005,1.0,0.832534215867702,0.8182816319362293
2024-12-11,pred_GradientBoosting,0.027567817756049502,0.0265678177560495,0.5,0.8554853674064183,0.8400215892066338
2025-02-10,pred_GradientBoosting,-0.0022554655325631168,-0.005255465532563117,1.5,0.8535558496466211,0.8356068846979495
2025-03-11,pred_GradientBoosting,-0.02195748510263429,-0.02395748510263429,1.0,0.834813909793739,0.8155878452061398
2025-04-08,pred_GradientBoosting,-0.03465461497038458,-0.03765461497038458,1.5,0.8058837551779157,0.784877198920377
2025-05-07,pred_GradientBoosting,0.12413253851819955,0.12213253851819955,1.0,0.9059201514587295,0.8807362436495765
2025-06-05,pred_GradientBoosting,0.03093638923834914,0.02893638923834914,1.0,0.933946049883121,0.9062215704121421
2025-07-07,pred_GradientBoosting,0.07893489866725556,0.07593489866725556,1.5,1.0076669866913288,0.9750354135314693
2025-08-04,pred_GradientBoosting,0.025200574636365596,0.021200574636365595,2.0,1.033060773798045,0.9957067245891427
2025-09-29,pred_GradientBoosting,0.0368032688500549,0.0368032688500549,0.0,1.0710807871945802,1.0323519868700044
2025-10-27,pred_GradientBoosting,0.13160372264634418,0.13060372264634418,0.5,1.2120390060443638,1.1671809994365767
2025-11-24,pred_GradientBoosting,0.0227956562649164,0.0197956562649164,1.5,1.239668230605822,1.1902861133003648
2025-12-23,pred_GradientBoosting,-0.0029291102475643045,-0.0039291102475643045,0.5,1.2360371056879746,1.185609347935063
2026-01-23,pred_GradientBoosting,-0.11401473188550684,-0.11401473188550684,0.0,1.0951106664824224,1.0504324160092962
2026-02-23,pred_GradientBoosting,0.004902909555188052,0.002902909555188052,1.0,1.1004798950331074,1.0534817263068088
2026-03-23,pred_GradientBoosting,0.05096703880592526,0.04896703880592526,1.0,1.1565680965484004,1.1050676068802074
2024-05-22,pred_Ensemble,-0.008743135349843,-0.010743135349843,1.0,0.991256864650157,0.989256864650157
2024-06-21,pred_Ensemble,-0.01031465362957295,-0.01231465362957295,1.0,0.9810323934333542,0.977074509011313
2024-07-22,pred_Ensemble,-0.053482326277595645,-0.054482326277595645,0.5,0.928564498878861,0.923841216813837
2024-08-19,pred_Ensemble,0.07788811940272285,0.07488811940272284,1.5,1.0008886414406672,0.9930259481677485
2024-09-17,pred_Ensemble,-0.06852942086459006,-0.07152942086459006,1.5,0.932298322492792,0.921995377191799
2024-10-15,pred_Ensemble,0.14553256742897341,0.1425325674289734,1.5,1.067978090974893,1.0534097454605909
2024-11-12,pred_Ensemble,-0.11421264772929005,-0.11621264772929005,1.0,0.9460014854877778,0.930990209796778
2024-12-11,pred_Ensemble,0.027567817756049502,0.0265678177560495,0.5,0.972080682036657,0.9557245880233252
2025-02-10,pred_Ensemble,-0.0022554655325631168,-0.005255465532563117,1.5,0.969888187563453,0.9507018103923456
2025-03-11,pred_Ensemble,-0.02195748510263429,-0.02395748510263429,1.0,0.9485918821338075,0.9279253859328235
2025-04-08,pred_Ensemble,-0.02931463126978473,-0.03231463126978473,1.5,0.9207842608835438,0.8979398192405316
2025-05-07,pred_Ensemble,0.12413253851819955,0.12213253851819955,1.0,1.0350835486146222,1.007607488800951
2025-06-05,pred_Ensemble,0.053275742613699786,0.050275742613699784,1.5,1.0902283933342898,1.0582657035635439
2025-07-07,pred_Ensemble,0.07206523671730555,0.07006523671730555,1.0,1.168795960575853,1.1324133405935295
2025-08-04,pred_Ensemble,0.007520606216612749,0.004520606216612749,1.5,1.1775860147429116,1.137532535380792
2025-09-29,pred_Ensemble,0.0368032688500549,0.0358032688500549,0.5,1.2209250294375595,1.178259918570715
2025-10-27,pred_Ensemble,0.13160372264634418,0.13060372264634418,0.5,1.3816033083836399,1.3321450501810286
2025-11-24,pred_Ensemble,0.0227956562649164,0.0197956562649164,1.5,1.4130978624960244,1.358515735689422
2025-12-23,pred_Ensemble,-0.0029291102475643045,-0.0039291102475643045,0.5,1.408958743066176,1.3531779775908475
2026-01-23,pred_Ensemble,-0.11401473188550684,-0.11401473188550684,0.0,1.2483166897377453,1.1988957532824547
2026-02-23,pred_Ensemble,0.004902909555188052,0.002902909555188052,1.0,1.254437073563761,1.2023760392203326
2026-03-23,pred_Ensemble,0.030113359362383962,0.02811335936238396,1.0,1.2922123879574838,1.2361788688996536
2024-05-22,lstm_pred,0.11583672904827577,0.11383672904827577,1.0,1.1158367290482758,1.1138367290482758
2024-06-21,lstm_pred,-0.04964738418918841,-0.05064738418918841,0.5,1.0604383542688087,1.0574238123081388
2024-07-22,lstm_pred,-0.04941020498043015,-0.052410204980430156,1.5,1.0080418778152769,1.0020040135538812
2024-08-19,lstm_pred,-0.08123986377023304,-0.08123986377023304,0.0,0.9261486929868739,0.9206013439955372
2024-09-17,lstm_pred,-0.0008693398418452847,-0.0018693398418452847,0.5,0.9253435550285873,0.91888042722475
2024-10-15,lstm_pred,0.0257685561032881,0.0227685561032881,1.5,0.9491883223411576,0.9398020077842302
2024-11-12,lstm_pred,-0.024355751758196004,-0.027355751758196004,1.5,0.9260701271904378,0.9140930173574305
2024-12-11,lstm_pred,0.026881948918138297,0.023881948918138298,1.5,0.950964697044185,0.9359233401043876
2025-02-10,lstm_pred,0.05905264402450015,0.05605264402450015,1.5,1.0071216767786018,0.9883843179214801
2025-03-11,lstm_pred,-0.005862570970113057,-0.005862570970113057,0.0,1.001217354472948,0.9825898447119187
2025-04-08,lstm_pred,0.11218197799957222,0.11018197799957222,1.0,1.113535897705222,1.0908535373645705
2025-05-07,lstm_pred,0.04398878563338654,0.04198878563338654,1.0,1.1625189896044577,1.1366571527023928
2025-06-05,lstm_pred,0.06479582158868864,0.06179582158868864,1.5,1.2378453626483306,1.2068978153182968
2025-07-07,lstm_pred,0.0959840282739973,0.0949840282739973,0.5,1.3566587469356042,1.3215338315323155
2025-08-04,lstm_pred,-0.12626632805938204,-0.12826632805938204,1.0,1.1853584285304029,1.1520255395554193
2025-09-29,lstm_pred,0.0649226119494399,0.0629226119494399,1.0,1.26231499380688,1.224513995536709
2025-10-27,lstm_pred,0.11698983601705626,0.11598983601705626,0.5,1.4099930179342184,1.3665451730796023
2025-11-24,lstm_pred,-0.016475032843753103,-0.016475032843753103,0.0,1.3867633366542895,1.3440312964706436
2025-12-23,lstm_pred,0.01904201535069565,0.018042015350695648,0.5,1.4131701053986423,1.3682803297533823
2026-01-23,lstm_pred,0.07753027940891494,0.07653027940891494,0.5,1.5227335785225249,1.472995205699131
2026-02-23,lstm_pred,-0.0170417799598876,-0.0190417799598876,1.0,1.4967834879398116,1.4449467551102386
2026-03-23,lstm_pred,-0.13067760992626481,-0.13267760992626482,1.0,1.3011873991587388,1.2532346731715003
2024-05-22,pred_final_gb_lstm,-0.13670458686102466,-0.13870458686102466,1.0,0.8632954131389754,0.8612954131389754
2024-06-21,pred_final_gb_lstm,-0.01031465362957295,-0.01231465362957295,1.0,0.8543908199724478,0.850688858453429
2024-07-22,pred_final_gb_lstm,-0.053482326277595645,-0.054482326277595645,0.5,0.8086960113700988,0.804341350506454
2024-08-19,pred_final_gb_lstm,0.07788811940272285,0.07488811940272284,1.5,0.8716838228641988,0.8645769616037287
2024-09-17,pred_final_gb_lstm,-0.06852942086459006,-0.07152942086459006,1.5,0.8119478353062833,0.8027342722473471
2024-10-15,pred_final_gb_lstm,0.13414188975655575,0.13014188975655575,2.0,0.9208640523180129,0.9072036274099704
2024-11-12,pred_final_gb_lstm,-0.13627251030409698,-0.13827251030409698,1.0,0.7953755962598341,0.7817623044910111
2024-12-11,pred_final_gb_lstm,0.027567817756049502,0.0255678177560495,1.0,0.8173023657451344,0.8017502606207866
2025-02-10,pred_final_gb_lstm,-0.0022554655325631168,-0.005255465532563117,1.5,0.8154589684295139,0.7975366897603706
2025-03-11,pred_final_gb_lstm,-0.02195748510263429,-0.02395748510263429,1.0,0.7975535402784134,0.7784297163966323
2025-04-08,pred_final_gb_lstm,0.008993945263237713,0.0059939452632377125,1.5,0.8047266931641789,0.7830955815079914
2025-05-07,pred_final_gb_lstm,0.11701699595960774,0.11401699595960774,1.5,0.8988933933667601,0.8723817872607748
2025-06-05,pred_final_gb_lstm,0.043738376113670444,0.04173837611367044,1.0,0.938209530691929,0.908793586412181
2025-07-07,pred_final_gb_lstm,0.1095975524041688,0.1085975524041688,0.5,1.0410349988980283,1.0074863455371503
2025-08-04,pred_final_gb_lstm,0.007520606216612749,0.004520606216612749,1.5,1.0488642131824522,1.012040794573938
2025-09-29,pred_final_gb_lstm,0.0368032688500549,0.0358032688500549,0.5,1.087465844807407,1.048275163229292
2025-10-27,pred_final_gb_lstm,0.13160372264634418,0.13060372264634418,0.5,1.2305803982348134,1.1851838019047414
2025-11-24,pred_final_gb_lstm,0.0227956562649164,0.0197956562649164,1.5,1.258632285999318,1.2086452930579945
2025-12-23,pred_final_gb_lstm,-0.0029291102475643045,-0.0039291102475643045,0.5,1.254945613272482,1.20389639245137
2026-01-23,pred_final_gb_lstm,-0.11401473188550684,-0.11401473188550684,0.0,1.111863325644327,1.0666344680480981
2026-02-23,pred_final_gb_lstm,0.004902909555188052,0.002902909555188052,1.0,1.1173146909676919,1.0697308114372879
2026-03-23,pred_final_gb_lstm,0.05096703880592526,0.04896703880592526,1.0,1.1742609121806726,1.1221123615928315
2024-05-22,pred_final_ens_lstm,0.0136135687206684,0.0116135687206684,1.0,1.0136135687206684,1.0116135687206684
2024-06-21,pred_final_ens_lstm,-0.01031465362957295,-0.01231465362957295,1.0,1.0031584958450794,0.9991558980148972
2024-07-22,pred_final_ens_lstm,-0.053482326277595645,-0.054482326277595645,0.5,0.9495072458621509,0.9447195603770655
2024-08-19,pred_final_ens_lstm,0.07788811940272285,0.07488811940272284,1.5,1.0234625796016126,1.015467831616671
2024-09-17,pred_final_ens_lstm,-0.06852942086459006,-0.07152942086459006,1.5,0.9533252817449347,0.9428320057145095
2024-10-15,pred_final_ens_lstm,0.14553256742897341,0.1425325674289734,1.5,1.0920651575922244,1.0772162721432073
2024-11-12,pred_final_ens_lstm,-0.10312891890136429,-0.10612891890136429,1.5,0.9794416585198903,0.9628924737576908
2024-12-11,pred_final_ens_lstm,0.027567817756049502,0.0265678177560495,0.5,1.0064427276646495,0.9884744255191569
2025-02-10,pred_final_ens_lstm,-0.0022554655325631168,-0.005255465532563117,1.5,1.004172730781903,0.9832795322460208
2025-03-11,pred_final_ens_lstm,-0.020249816282489647,-0.02224981628248965,1.0,0.9838384174676835,0.9614017432992145
2025-04-08,pred_final_ens_lstm,-0.02931463126978473,-0.033314631269784734,2.0,0.9549975570305699,0.9293729987190729
2025-05-07,pred_final_ens_lstm,0.11701699595960774,0.11401699595960774,1.5,1.0667485023030512,1.035337316158994
2025-06-05,pred_final_ens_lstm,0.043738376113670444,0.04173837611367044,1.0,1.1134063495154767,1.0785506144653563
2025-07-07,pred_final_ens_lstm,0.152553867023331,0.150553867023331,1.0,1.2832607937023932,1.2409305802535056
2025-08-04,pred_final_ens_lstm,0.007520606216612749,0.004520606216612749,1.5,1.2929116928050468,1.2465403387489844
2025-09-29,pred_final_ens_lstm,0.0368032688500549,0.0358032688500549,0.5,1.3404950694347304,1.2911705576296528
2025-10-27,pred_final_ens_lstm,0.13160372264634418,0.13060372264634418,0.5,1.5169092107614106,1.4598022390274414
2025-11-24,pred_final_ens_lstm,0.0227956562649164,0.0197956562649164,1.5,1.5514881517150132,1.488699982365984
2025-12-23,pred_final_ens_lstm,-0.0029291102475643045,-0.0039291102475643045,0.5,1.5469436718708502,1.4828507160097213
2026-01-23,pred_final_ens_lstm,-0.11401473188550684,-0.11401473188550684,0.0,1.3705693038805138,1.3137838891976412
2026-02-23,pred_final_ens_lstm,0.004902909555188052,0.002902909555188052,1.0,1.377289081216557,1.317597685003045
2026-03-23,pred_final_ens_lstm,-0.04239304825501679,-0.04439304825501679,1.0,1.3189015987354358,1.2591055073920066
2024-05-22,pred_dynamic_gb_lstm,-0.15906129093153604,-0.16106129093153604,1.0,0.8409387090684639,0.8389387090684639
2024-06-21,pred_dynamic_gb_lstm,0.036977483114659,0.035977483114659,0.5,0.8720345059835062,0.8691216123082085
2024-07-22,pred_dynamic_gb_lstm,-0.053482326277595645,-0.055482326277595646,1.0,0.8253960720091744,0.8209007234392145
2024-08-19,pred_dynamic_gb_lstm,0.07788811940272285,0.07488811940272284,1.5,0.8896846198203634,0.882376434833912
2024-09-17,pred_dynamic_gb_lstm,-0.06852942086459006,-0.07152942086459006,1.5,0.828715048071941,0.8192605594656807
2024-10-15,pred_dynamic_gb_lstm,0.13414188975655575,0.13014188975655575,2.0,0.9398804506900061,0.9258806768775575
2024-11-12,pred_dynamic_gb_lstm,-0.13627251030409698,-0.13827251030409698,1.0,0.811800582288733,0.7978568314436412
2024-12-11,pred_dynamic_gb_lstm,0.027567817756049502,0.0255678177560495,1.0,0.8341801527955236,0.8182562895054113
2025-02-10,pred_dynamic_gb_lstm,-0.0022554655325631168,-0.005255465532563117,1.5,0.8322986882129451,0.8139559717791126
2025-03-11,pred_dynamic_gb_lstm,-0.020249816282489647,-0.02224981628248965,1.0,0.8154447926844758,0.795845600944992
2025-04-08,pred_dynamic_gb_lstm,0.008993945263237713,0.0049939452632377125,2.0,0.8227788585150722,0.7998200103140998
2025-05-07,pred_dynamic_gb_lstm,0.11701699595960774,0.11401699595960774,1.5,0.919057968877581,0.891013085198496
2025-06-05,pred_dynamic_gb_lstm,0.043738376113670444,0.04173837611367044,1.0,0.9592560719906147,0.9282025244707127
2025-07-07,pred_dynamic_gb_lstm,0.152553867023331,0.150553867023331,1.0,1.105594295238394,1.0679470039105965
2025-08-04,pred_dynamic_gb_lstm,0.007520606216612749,0.004520606216612749,1.5,1.1139090345682152,1.0727747717754876
2025-09-29,pred_dynamic_gb_lstm,0.0368032688500549,0.0358032688500549,0.5,1.1549045282419341,1.1111836153449217
2025-10-27,pred_dynamic_gb_lstm,0.13160372264634418,0.13060372264634418,0.5,1.3068942634596927,1.2563083320525918
2025-11-24,pred_dynamic_gb_lstm,0.0227956562649164,0.0197956562649164,1.5,1.3366857758641109,1.2811777799566555
2025-12-23,pred_dynamic_gb_lstm,-0.0029291102475643045,-0.0039291102475643045,0.5,1.3327704758602539,1.276143891212476
2026-01-23,pred_dynamic_gb_lstm,-0.11401473188550684,-0.11401473188550684,0.0,1.1808150073901278,1.1306446876085583
2026-02-23,pred_dynamic_gb_lstm,0.004902909555188052,0.002902909555188052,1.0,1.1866044365727701,1.1339268468757397
2026-03-23,pred_dynamic_gb_lstm,0.05096703880592526,0.04896703880592526,1.0,1.2470821509388577,1.1894518867897848
2024-05-22,pred_dynamic_ens_lstm,0.0136135687206684,0.0116135687206684,1.0,1.0136135687206684,1.0116135687206684
2024-06-21,pred_dynamic_ens_lstm,-0.01031465362957295,-0.01231465362957295,1.0,1.0031584958450794,0.9991558980148972
2024-07-22,pred_dynamic_ens_lstm,-0.053482326277595645,-0.054482326277595645,0.5,0.9495072458621509,0.9447195603770655
2024-08-19,pred_dynamic_ens_lstm,0.07788811940272285,0.07488811940272284,1.5,1.0234625796016126,1.015467831616671
2024-09-17,pred_dynamic_ens_lstm,-0.06852942086459006,-0.07152942086459006,1.5,0.9533252817449347,0.9428320057145095
2024-10-15,pred_dynamic_ens_lstm,0.14553256742897341,0.1425325674289734,1.5,1.0920651575922244,1.0772162721432073
2024-11-12,pred_dynamic_ens_lstm,-0.10312891890136429,-0.10612891890136429,1.5,0.9794416585198903,0.9628924737576908
2024-12-11,pred_dynamic_ens_lstm,0.027567817756049502,0.0265678177560495,0.5,1.0064427276646495,0.9884744255191569
2025-02-10,pred_dynamic_ens_lstm,-0.0022554655325631168,-0.005255465532563117,1.5,1.004172730781903,0.9832795322460208
2025-03-11,pred_dynamic_ens_lstm,-0.020249816282489647,-0.02224981628248965,1.0,0.9838384174676835,0.9614017432992145
2025-04-08,pred_dynamic_ens_lstm,0.09369981235590594,0.09069981235590593,1.5,1.0760238925729368,1.0486007010150942
2025-05-07,pred_dynamic_ens_lstm,0.04398878563338654,0.04198878563338654,1.0,1.12335687691973,1.0926301710650357
2025-06-05,pred_dynamic_ens_lstm,0.043738376113670444,0.04073837611367044,1.5,1.1724906825123234,1.1371421499270271
2025-07-07,pred_dynamic_ens_lstm,0.07206523671730555,0.07106523671730555,0.5,1.2569865010964092,1.2179534259928169
2025-08-04,pred_dynamic_ens_lstm,0.007520606216612749,0.004520606216612749,1.5,1.266439801590753,1.2234593138219048
2025-09-29,pred_dynamic_ens_lstm,0.0368032688500549,0.0358032688500549,0.5,1.3130489260911076,1.267263156561774
2025-10-27,pred_dynamic_ens_lstm,0.13160372264634418,0.13060372264634418,0.5,1.4858510527814819,1.4327724423812984
2025-11-24,pred_dynamic_ens_lstm,0.0227956562649164,0.0197956562649164,1.5,1.5197220026415525,1.4611351131565233
2025-12-23,pred_dynamic_ens_lstm,-0.0029291102475643045,-0.0039291102475643045,0.5,1.5152705693501662,1.4553941522103442
2026-01-23,pred_dynamic_ens_lstm,-0.11401473188550684,-0.11401473188550684,0.0,1.3425074016517078,1.2894577781583474
2026-02-23,pred_dynamic_ens_lstm,0.004902909555188052,0.002902909555188052,1.0,1.3490895940191765,1.2932009574635748
2026-03-23,pred_dynamic_ens_lstm,-0.04239304825501679,-0.04439304825501679,1.0,1.2918975737595806,1.2357918249554605
2024-05-22,pred_RandomForest_sn_sm,0.2106295749841347,0.2086295749841347,1.0,1.2106295749841347,1.2086295749841347
2024-06-21,pred_RandomForest_sn_sm,0.013538359119392752,0.011538359119392752,1.0,1.2270195129308277,1.2225751770626205
2024-07-22,pred_RandomForest_sn_sm,-0.0009632577281211939,-0.002963257728121194,1.0,1.2258375769024414,1.2189523717209805
2024-08-19,pred_RandomForest_sn_sm,-0.0022296696732077986,-0.006229669673207799,2.0,1.2231043640329435,1.2113587010977855
